נושא,שאלה,תשובה
ויזה,מה עושים אם שכחתי לשים את המייל הנכון בבקשת הויזה?,"אם שכחתם לשים את המייל הנכון, יהיה צורך למלא מחדש את בקשת הויזה ולשלם פעמיים. לכן חשוב לוודא שהמייל נכון."
ויזה,האם צריך להדפיס את הויזה?,"לא, הויזה מגיעה למייל תוך שבוע ואין צורך להדפיס אותה. תצטרכו להציג את האישור שקיבלתם במייל"
ויזה,מה נדרש להראות בעת הנחיתה בסרי לנקה?,"יש להראות את אישור הויזה שהתקבלו במייל ואת הטופס שממלאים בשדה לפני תור ההגירה.
בטופס המילוי תצטרכו לממלא:
מספר טיסה
מספר דרכון
אזרחות
שם כמו שכתוב בדרכון
כתובת בסרי לנקה (שם המלון שלכם/בית חב״ד)
מספר ילדים אם יש
שדה התעופה ממנו יצאתם
סיבת הביקור בסרי לנקה
ותאריך וחתימה שלכם"
ויזה,האם ניתן לבטל ויזה שכבר הונפקה ולקבל החזר כספי?,"לא, ויזה שכבר הונפקה אי אפשר לבטל, גם אם לא נעשה בה שימוש ולא מקבלים החזר כספי."
ויזה,האם נדרשת ויזה לקונקשין בין טיסות בשדה תעופה בסרי לנקה?,בקונקשן של פחות מ-24 שעות בין טיסות אין צורך בויזה נוספת. לעיתים יש צורך להחתים את הדרכון בלבד.
ויזה,מתי מתחילה הויזה להיספר?,הויזה מתחילה להיספר מהתאריך שצוין כיום הנחיתה בבקשת הויזה.
ויזה,האם כדאי למלא מראש את טופס הנחיתה המקוון?,"כן, בתחתית אישור הויזה יש קישור למילוי טופס נחיתה מקוון, המקצר משמעותית את תהליך היציאה מהשדה, ולכן מומלץ מאוד."
ויזה,מה גובה הקנס במקרה של חריגה ממשך הויזה?,הקנס הוא בסכום משתנה על כל יום נוסף של שהייה מעבר למותר בויזה. הסכום נקבע בשדה היציאה מהמדינה.
ויזה,האם יש צורך בויזה נפרדת לילדים?,"כן, יש צורך בויזה נפרדת עבור כל ילד, בתשלום."
ויזה,כיצד ניתן לחדש את הויזה בפעם הראשונה למשך חודשיים כאשר התפספס מייל עם קישור לתשלום והאתר כבר לא מאפשר זאת?,"נסה להיכנס ממכשיר אחר - לפעמים בעיות טכניות קשורות למכשיר הספציפי או לדפדפן ממנו נכנסים. אם ממכשיר אחר האתר מאפשר, אז אפשר יהיה להשלים את התשלום."
ויזה,האם ביום ה30 של הויזה זה עדיין יום שאפשר לשהות בו בסרי לנקה נכון?,כן
ביטוח,האם נחוץ ביטוח תיירים לנסיעה לסרי לנקה?,"כן, מומלץ מאוד לעשות ביטוח נסיעות וספורט אקסטרים לנסיעה לסרי לנקה."
ביטוח,איזה סוג ביטוח מומלץ לעשות לנסיעה לסרי לנקה?,"מומלץ לעשות ביטוח נסיעות וספורט אקסטרים, אנחנו ממליצים על חברת פספורט-קארד."
ביטוח,האם הביטוח מכסה גם ספורט אקסטרים ופעילויות אתגריות?,"כן, ביטוח ספורט אקסטרים מכסה גם פעילויות אתגריות וספורט אקסטרמי שנפוץ בסרי לנקה."
ביטוח,האם צריך ביטוח נסיעות ספציפי לסרי לנקה או שמספיק ביטוח רגיל?,רצוי לעשות ביטוח ייעודי לנסיעה לסרי לנקה עם הרחבות מתאימות. ביטוח נסיעות בסיסי עלול שלא לכסות את כל הצרכים.
ביטוח,מה מכסה ביטוח נסיעות וספורט אקסטרים בפספורט-קארד?,"ביטוח זה כולל כיסוי להוצאות רפואיות, מקרי חירום, מחלות , תאונות, כבודה וספורט אקסטרים."
טיסות,מהו טווח המחירים המקובל לטיסה לסרי לנקה?,מחירי הטיסות נעים בין 700$ ל-1000$ בממוצע.
טיסות,היכן מומלץ לחפש ולהזמין כרטיסי טיסה לסרי לנקה?,מומלץ לחפש ב-Google Flights או Skyscanner ולסגור את הקנייה דרך האתר הרשמי של חברת התעופה.
טיסות,לאיזה שדה תעופה יש לטוס כדי להגיע לסרי לנקה?,"יש לטוס לשדה הבינלאומי של סרי לנקה CMB, הנמצא כ-30 דקות נסיעה מהעיר קולומבו."
טיסות,האם אפשר להטיס גלשנים לסרי לנקה וכמה זה עולה?,"כן, ברוב חברות התעופה אפשר להוסיף גלשן כמזוודה. באמירטס אין עלות נוספת, בארקיע עלות של 100$ לגלשן ובפליי דובאי 160$ לקייס גלשנים."
טיסות,מה כמות האלכוהול והסיגריות המותרת להכנסה לסרי לנקה?,"ניתן להכניס כמות סבירה של אלכוהול וסיגריות לשימוש עצמי, בדרך כלל לא עושים בעיות עם זה."
טיסות,האם יש מגבלת משקל לגלשנים בטיסה לסרי לנקה?,"כן, יש מגבלת משקל של כבודה לנוסע. ניתן להכניס מספר גלשנים עד למגבלה זו. אם חורגים ממנה, יש תשלום נוסף על החריגה."
טיסות,האם כדאי לקנות כרטיסים הלוך ושוב או כרטיס חד-כיווני?,בדרך כלל כדאי לקנות כרטיס הלוך ושוב שכן זול יותר משני כרטיסים חד-כיווניים. אך תלוי בתאריכי הטיסות.
טיסות,האם המחיר כולל הטסת ציוד גלישה וספורט ימי?,"לא, מחיר הכרטיס הוא עבור הנוסע בלבד. ציוד ספורט וגלישה כרוך בתשלום נוסף, שמשתנה בין חברות התעופה."
טיסות,האם אפשר להכניס לתוך התיק של המטוס / המזוודה גז פלפל ?,לטרולי אסור למזוודה אפשר
טיסות,כמה זמן צריך לפני הטיסה חזרה לארץ צריך להיות בשדה התעופה בקולומבו?,שעתיים וחצי +-
תחבורה ונהגים,מהם אמצעי התחבורה השונים הזמינים להגעה מהשדה הבינלאומי של סרי לנקה ליעדים המרכזיים באי?,"ישנם מספר אופציות להגעה מהשדה הבינלאומי (CMB), הנמצא כ-30 דקות נסיעה מקולומבו:
1. מונית - אפשר לסגור מראש מונית פרטית ליעד המבוקש. המחיר לנגומבו הוא 3,000-6,000 רופי. לארוגם ביי במערב כ-100$ ולדרום כ-60$.
2. אוטובוס תיירים ממוזג - יש קווים מאורגנים מקולומבו לארוגם ביי ולעיירות הדרום.
3. רכבת - נמצאת כ-30 דק' מהשדה. נוחה וזולה. יש לקחת מונית לתחנת Colombo Fort (8,000-10,000 רופי) ומשם את הרכבת ליעד שלכם.
4. אוטובוס מקומי - זול אבל בדרך כלל לא נוח וצפוף."
תחבורה ונהגים,מהי עלות נסיעה ממוצעת במונית מהשדה הבינלאומי של סרי לנקה ליעדים השונים ברחבי המדינה?,"עלות ממוצעת של נסיעת מונית מהשדה לקולומבו היא כ-3,000 עד 6,000 רופי. לארוגם ביי בצד המזרחי המחיר הוא כ-100$ למונית ולעיירות בדרום כ-60$ למונית. נסיעה לאלה מווליגמה עולה כ-14,000 רופי ומקולומבו לאלה בערך אותו מחיר."
תחבורה ונהגים,מהי הדרך המומלצת והזולה ביותר לנסוע לאורך חופי הדרום של סרי לנקה מעיירה לעיירה?,"הדרך המומלצת והזולה ביותר לנסוע לאורך חופי הדרום היא באמצעות האוטובוס המקומי מספר 350/2 הידוע גם כקו החוף. האוטובוס הכחול או האדום הזה עוצר בכל עיירות הדרום החל מהוואטה, גאלה, אונוואטונה, טנגלה ועד ווליגמה, מריסה, והיריקטיה בקצה. התחנה המרכזית שלו בווליגמה נמצאת ב- Weligama Bus Stand. והמחיר לנסיעה הוא 70 רופי לאדם."
תחבורה ונהגים,מהי עלות ממוצעת של נסיעה בטוקטוק בין עיירות הדרום השונות?,"מחיר ממוצע לנסיעת טוקטוק בין העיירות הוא כך - ממריסה לווליגמה כ-1,000 רופי, ומשם להיריקטיה כבר כ-4,000 עד 4,500 רופי. הטוקטוק הוא האמצעי הנוח ביותר לנסיעות קצרות בתוך העיירות."
תחבורה ונהגים,מהם אמצעי התחבורה המומלצים לתיירים המבקשים לטייל בקולומבו?,"עבור תיירים המעוניינים לטייל בקולומבו, הבירה, מומלץ להשתמש באפליקציית PickMe סרי לנקה להזמנת נסיעות. האפליקציה זמינה להורדה למכשירים עם IOS ואנדרואיד, ומציעה נסיעות זולות ונוחות ברחבי העיר."
תחבורה ונהגים,האם ניתן להעלות ציוד גלישה וספורט ימי על אמצעי התחבורה השונים בדרך מהשדה?,"כן, ברוב אמצעי התחבורה כמו מוניות, אוטובוסים ורכבת אפשר להעלות גלשנים, ציוד גלישה ואביזרי ספורט ימי כחלק ממשקל המטען המותר. יש לתאם זאת מראש עם נהג המונית או חברת ההסעה. המחיר הבסיסי כולל נוסעים בלבד."
תחבורה ונהגים,כיצד מגיעים באופן הזול והמהיר ביותר מנמל התעופה לתחנת הרכבת המרכזית בקולומבו?,"על מנת להגיע במהירות ובמחיר נמוך מנמל התעופה לתחנת הרכבת Colombo Fort הדרך המומלצת היא לקחת מונית. המחיר של נסיעה זו הוא כ-8,000 עד 10,000 רופי בממוצע."
תחבורה ונהגים,איפה אפשר לראות את זמני הרכבת?,"את לוח הזמנים של הרכבת תוכלו למצוא כאן -
http://www.railway.gov.lk/web/"
תחבורה ונהגים,מאיפה אפשר להזמין כרטיס לרכבת?,"אפשר לקנות בתחנת רכבת עצמה ואפשר גם להזמין באונליין -
https://seatreservation.railway.gov.lk/mtktwebslr/"
תחבורה ונהגים,איזה קו אוטובוס אני צריך לקחת כדי לעבור בין עיירות החוף בדרום?,האוטובוס שצריך לקחת בין עיירות החוף הוא קו 350/ קו 2
תחבורה ונהגים,איפה תחנת האוטובוס בווליגמה?,Weligama Bus Stand
תחבורה ונהגים,מהי הדרך הזולה ביותר לנסוע בתוך העיירות השונות,הדרך הזולה ביותר לנסוע בתוך העיירות השונות היא טוקטוק
כללי,איזה מתאם חשמל נדרש לשימוש במכשירי חשמל ישראליים בסרי לנקה?,ניתן למצוא מתאמים לחשמל הישראלי של 220V בכמעט כל חנות אלקטרוניקה וחשמל בסרי לנקה. החשמל בסרי לנקה הוא 240V ולכן נדרש מתאם מתאים על מנת לחבר מכשירים ישראליים.
כללי,מהם המקומות המומלצים לעבודה מרחוק בסרי לנקה עבור נוסעים ישראלים?,"בצד המזרחי, באזור ארוגם ביי מומלץ על מרחבי העבודה במלונות סולטי סוואמיס וביי וויסטה. בצד הדרומי יש יותר מרחבי עבודה ובתי קפה המאפשרים עבודה מרחוק, למשל אאוטפוסט בווליגמה. כמו כן אפשר לעבוד מבתי החב""ד ברחבי האי."
כללי,מה מספר הטלפון להתקשרות למשטרה במקרי חירום בסרי לנקה?,במקרי חירום ניתן להתקשר למוקד המשטרה בסרי לנקה בטלפון 911. ישנן תחנות משטרה בכל האזורים המרכזיים כולל בצד הדרומי ובארוגם ביי.
כללי,"היכן נמצאים בתי חב""ד הפזורים ברחבי סרי לנקה ומהי הדרך ליצור איתם קשר?","קיימים מספר בתי חב""ד באי -
בקולומבו, באלה ובארוגם ביי בטלפון 055-991-2717;
ובווליגמה בטלפון 074-360-0652;
ניתן ליצור עימם קשר טלפוני במספרים אלה על מנת לקבל שירותי אוכל, לינה, מידע ועוד."
כללי,האם מקובל להשאיר טיפים במסעדות בסרי לנקה ומה המדיניות לגבי זה?,"ברוב המסעדות יש תשלום שירות כלול מראש בחשבון, לכן אין צורך בטיפ נוסף. עם זאת, אם השירות היה מעל ומעבר, ניתן, טיפ נוסף ישמח את המלצר / את נותן השירות."
כללי,מהן דרכי המשלוח האפשריות של חבילות מישראל לסרי לנקה ולהפך?,"ניתן לשלוח חבילות בין ישראל לסרי לנקה ולהיפך באמצעות הדואר הישראלי והסרי לנקי, או לחילופין על ידי מסירת החבילה ישירות לידי מטייל ישראלי החוזר מהיעד או מגיע אליו."
כללי,מהו מספר החירום בסרי לנקה?,אפשר להשיג את המשטרה בסרי לנקה במספר 911.
כללי,היכן נמצאות תחנות המשטרה בסרי לנקה?,"תחנות המשטרה נמצאות הן בצד הדרומי והן בארוגם ביי. בצד הדרומי יש תחנת משטרה בכמעט כל עיירת חוף, או במרחק של עד 20 דק' נסיעה. בצד המזרחי יש תחנת משטרה בפטוביל ותחנת משטרת תיירים בארוגם עצמה."
כללי,"כמה בתי חב""ד יש בסרי לנקה?","יש מספר בתי חב""ד באי - בקולומבו, באלה, בווליגמה ובארוגם-ביי."
כללי,"האם מומלץ לאכול מחוץ לבתי החב""ד בסרי לנקה?","מומלץ לאכול רק במקומות הכשרים, כלומר בבתי החב""ד, שם יש מסעדות כשרות."
כללי,האם נהוג להשאיר טיפ בסרי לנקה?,"ברוב המקומות לוקחים כסף על השירות, אבל אם רוצים, אפשר תמיד להשאיר טיפ שישמח את נותן בשירות."
כללי,האם צריך לסגור אטרקציות מראש?,את רוב האטרקציות בסרי לנקה צריך לסגור מראש בהתראה של יום או כמה שעות לפני.
כללי,לאן מומלץ ללכת לטיול יום בצד הדרומי של סרי לנקה?,"אנחנו ממליצים להגיע לנמל בגול (Gale Fort) שנחשב ל""אירופה של סרי לנקה""."
כללי,איפה אפשר להדפיס מסמכים?,"אם אתם בצד הדרומי - אפשר להדפיס מסמכים בבית חב""ד בווליגמה. אם אתם בארוגם-ביי, אפשר להדפיס אצל Barrak com system"
כללי,מהן האפשרויות לשלוח חבילות לישראל וממנה לסרי לנקה?,"אפשר לשלוח דרך הדואר של סרי לנקה או ישראל, או לבקש ממישהו שטס לשם או חוזר לארץ לקחת את החבילה בעבור תשלום או כטובה."
כללי,יכול פחות או יותר להסביר איפה זה האיזור המרכזי בארוגם ביי?,ארוגם היא עיירה של 5 קילומטר מקצה לקצה ככה שגם אם לא תיהי באיזור המרכזי הכל קרוב
כללי,איפה אני יכול להחליף ספרים?,בנאמי קפה בווליגמה יש ספרים להחלפה
כללי,עד כמה חשוב מזגן בחדר בווליגמה? ,"סביל ללא מזגן בלילה. ביום תלוי במזג, אבל יש ימים חמים ממש."
כללי,איפה אפשר לקנות מתאם לחשמל?,כל חנות טלפונים / חשמל
כללי,מהם המקומות המומלצים לאכילת אוכל כשר בסרי לנקה?,"המקומות היחידים המגישים אוכל כשר בסרי לנקה הם בתי חב""ד.
ישנן מסעדות כשרות בכל בתי החב""ד ברחבי האי, כולל בקולומבו, אלה, ווליגמה וארוגם ביי.
כמו כן מתקיימות ארוחות שישי מדי שבוע. רצוי לתאם השתתפות מראש עם רוני ארד בטלפון 055-991-2717."
מכס,האם יש מגבלות על כמויות אלכוהול וסיגריות המותרות להכנסה לסרי לנקה לשימוש עצמי?,"ניתן להכניס לשימוש עצמי כמויות סבירות של אלכוהול וסיגריות מבלי לשלם מכס. כל עוד מדובר בכמות הגיונית למספר הנוסעים, בדרך כלל המכס אינו עושה בעיות."
כסף,מהם המטבעות המומלצים להביא לסרי לנקה?,מומלץ להגיע עם דולרים חדשים כי את הישנים לא כל המקומות מקבלים. אפשר גם להגיע עם יורו או מטבעות אחרים ולהמיר בשדה התעופה או אצל החלפנים המקומיים בחנויות תכישיטים.
כסף,איפה מומלץ להמיר כסף בסרי לנקה?,"מומלץ להחליף כסף בשדה התעופה או אצל אחד הצורפים/חנויות תכשיטים בעיירה שאליה מגיעים. בצד הדרומי מומלץ אצל סייק הצורף ליד מלון W15, ובצד של ארוגם-ביי מומלץ אצל בקיר ממול מסעדת Siam View."
כסף,מה לעשות כשנגמר הכסף שהוחלף בהתחלה?,"יש למשוך מכספומט, מומלץ בכספומטים הצמודים לבנק מקומי ולא בנפרד. הסכום המקסימלי למשיכה הוא 250,000 רופי בבנק BOC."
כסף,כיצד אפשר להעביר כסף למקומיים או לישראלים אחרים?,לישראלים אחרים אפשר להעביר באפליקציית ביט עם אפליקציית VPN. למקומיים - על ידי הפקדת מזומן לחשבון שלהם.
כסף,כמה עולה בממוצע ארוחה בסרי לנקה?,"זה מאוד משתנה בין אוכל מערבי למקומי. בממוצע כ- 4,000 רופי ליום לאדם."
כסף,האם יש המלצה על מסעדה זולה וטובה?,"מומלץ לאכול בבית חב""ד - זול, נקי וכשר."
כסף,האם כדאי להמיר כסף בבנקים בסרי לנקה?,"כן, הבנקים מציעים שערי המרה טובים. אפשרות זו היא חלופה טובה להמרה אצל הצורפים בחנויות תכשיטים."
כסף,מה עושים אם אין לי דולרים חדשים להמרה? האם אפשר להמיר דולרים ישנים?,"ברוב המקומות לא ממירים דולרים ישנים. עם זאת, הצורף סייק ליד מלון W15 בווליגמה צד הדרומי ובקיר מול מלון Siam View בארוגם ביי ממירים גם דולרים ישנים."
כסף,כמה כסף מומלץ להביא לנסיעה של שבועיים בסרי לנקה?,"תלוי ברמת החופשה, אך עבור זוג ניתן להעריך סכום של כ-100 דולר ליום. כלומר כ-1400 דולר ל-14 ימים. פלוס עוד כ-100 דולר להוצאות בלתי צפויות."
כסף,האם יש עמלות גבוהות על משיכת מזומן בכספומטים?,בדרך כלל העמלות הן נמוכות יחסית. חשוב לבדוק זאת מראש בבנק שלכם.
כסף,מה עדיף - לשלם במזומן או בכרטיס אשראי?,"בדרך כלל עדיף במזומן שכן לא ברוב המקומות יש קבלת כרטיסי אשראי, במיוחד מחוץ לערים הגדולות."
כסף,איפה יש מקום מומלץ להמיר דולרים במיריסה?,בבנק
לינה,אילו סוגי לינה ניתן למצוא בסרי לנקה?,"בסרי לנקה ניתן למצוא גסטהאוס זול או מלון מפואר - יש מקומות לכל התקציבים. יש מקומות נגישים, מקומות לעבוד בהם מרחוק וטווח המחירים מתחיל מכ-8$ ללילה."
לינה,מהם היתרונות והחסרונות של השכרת דירה בסרי לנקה?,"יתרונות: אפשר לחסוך בעלויות של אוכל בחוץ.
חסרונות: אם לא באים לטווח של יותר מחודש זה יכול לצאת סיפור יקר ולא משתלם. מחירים בבוקינג יכולים להשתנות וברוב המקרים לעלות כשאתם במדינה עצמה."
לינה,מהם הדרך שאתם ממליצים להזמין מקום לינה בסרי לנקה?,אנחנו ממליצים להכנס מחלון גלישה בסתר ולסגור משם.
קניות,היכן אפשר לקנות כלי נגינה בסרי לנקה?,בצד הדרומי ובקולומבו אפשר למצוא חנויות למכירת גיטרות וכלי נגינה אחרים.
קניות,איפה אפשר לקנות בגדים ומזכרות בסרי לנקה?,בגדים אפשר למצוא בחנויות בקולומבו ובעיירות התיירותיות. מזכרות אפשר למצוא בכמעט כל עיירה.
קניות,איפה אפשר לקנות גלשנים חדשים בצד הדרומי של סרי לנקה?,"יש מספר חנויות מומלצות לקניית גלשנים חדשים בצד הדרומי:
- Salty Swamis Hikakaduwa
- Onda Kabalana
- Twinfin Ahangama
- Cheeky Monkey Midigama
- Ceylon Sliders Weligama
- Dylan’s Weligama
- The Doctors House Mediha "
עונות ומזג אוויר,מהן עונות הגלישה בסרי לנקה?,"1. בצד הדרומי העונה היא מנובמבר עד אפריל וכוללת את היקדואה, קבלנה, גאלה, ווליגמה ועוד.
2. בצד המזרחי באזור ארוגם ביי העונה היא ממאי עד אוקטובר.
3. במרכז האי אפשר לטייל כל השנה."
עונות ומזג אוויר,האם אפשר לסמוך על תחזית מזג האוויר בסרי לנקה?,לא מומלץ לסמוך על התחזית מכיוון שמזג האוויר משתנה במהירות.
גלישה,אילו חופים מתאימים לגולשים מתחילים בצד הדרומי של סרי לנקה?,"ווליגמה, קבלנה ביצ׳ ברייק והבלו-ביצ׳ בהיריקטיה"
גלישה,אילו חופים מתאימים לגולשים מתחילים בצד המזרחי של סרי לנקה?,"בארוגם ביי עצמה יש את ה""בייבי פויינט"" ואת החופים: פנמה, פינאטס פארם, אלפנט-רוק, פוטוביל, וויסקי-פויינט"
גלישה,אילו חופים מתאימים לגולשים מנוסים בצד הדרומי של סרי לנקה?," היקדואה, קבלנה (The Rock), אהנגמה(Gas Station, Sticks , מרשמלו, Sion, Animals), מידיגמה (Lazy left, Lazy Right, Plantation, Coconut point), ווליגמה (Fisherman), מריסה, מטרה (Sk town), היריקטיה (בלו-ביצ׳)"
גלישה,אילו חופים מתאימים לגולשים מנוסים בצד המזרחי של סרי לנקה?,"למעט ה""מיין פויינט"" (החוף המאתגר ביותר בצד המזרחי) שנמצא בארוגם ביי עצמה, כל החופים מתאימים לגולשים מנוסים (אוקנדה, פנמה, פינאטס פארם, אלפנט-רוק, פוטוביל, וויסקי-פויינט, לייטהאוס)"
גלישה,אילו חופים מתאימים לגולשים מתקדמים בצד הדרומי של סרי לנקה?,"היקדואה, קבלנה (The Rock), מידיגמה (Ram's), מריסה, מדיאה (Right / Left), היריקטיה (בלו-ביצ׳)"
גלישה,אילו חופים מתאימים לגולשים מתקדמים בצד המזרחי של סרי לנקה?,"אוקנדה, פנגלה, פנמה, פינאטס פארם, ארוגם(מיין פויינט), פוטוביל, לייטהאוס"
גלישה,איפה אפשר למצוא בתי ספר לגלישה בצד הדרומי של סרי לנקה?,כמעט בכל חוף תוכלו למצוא בית ספר לגלישה שילמד אתכם ויתאים את רמת השיעור לרמה שלכם.
גלישה,איפה אפשר למצוא בתי ספר לגלישה בצד המזרחי (ארוגם ביי) של סרי לנקה?,"תוכלו למצוא בתי ספר לגלישה בארוגם ביי עצמה בחוף הבייבי פויינט ובחופים: אלפנט רוק, פינאטס-פארם ופוטוביל."
גלישה,כמה עולה שיעור גלישה בסרי לנקה?,"שיעור גלישה עולה בסביבות ה5,000 רופי לאדם."
גלישה,איך אפשר להתעדכן במצב הגלים בצד הדרומי של סרי לנקה?,יש בצד הדרומי מצלמות בלייב להתעדכנות במצב הגלים - https://lankasurf.com/
גלישה,מה לגבי איכות הגלשנים להשכרה בסרי לנקה?,ברוב המקרים הם פחות איכותיים אבל המגוון רחב - מסופטים/לונדבורדים/פאנבורדים ועד שורטים.
גלישה,איפה אפשר למצוא גלשנים להשכרה בצד הדרומי של סרי לנקה?,כמעט בכל חוף תוכלו למצוא גלשן להשכרה.
גלישה,איפה אפשר למצוא גלשנים להשכרה בצד המזרחי (ארוגם ביי) של סרי לנקה?,"תוכלו למצוא גלשנים להשכרה בחנויות גלישה בארוגם ביי עצמה ובחופים: אלפנט רוק, פינאטס-פארם ופוטוביל."
גלישה,מה קובע את צפיפות הגולשים בחופים בסרי לנקה?,זה תלוי בים ואיפה אתם גולשים. כשיש בדרך כלל ים גבוהה יהיה פחות גולשים מתחילים במים ובימים נמוכים יהיה יותר עמוס.
גלישה,מהם חנויות הגלשנים המומלצות ביותר בסרי לנקה לרכישת גלשנים חדשים ומשומשים?,"לרכישת גלשנים חדשים מומלץ על חנויות Onda, Dylan's ו-Salty Swamis באזורים השונים כמו קולומבו, ארוגם ביי, ווליגמה ומידיגמה. לגלשנים משומשים מומלץ בווליגמה ומידיגמה, בחוף עצמו ובחנויות הגלישה המקומיות."
גלישה,היכן אפשר לקנות ציוד גלישה בסרי לנקה?,"אפשר לקנות גלשנים, חדשים ויד שנייה, בחנויות לאורך כל רצועות החוף של סרי לנקה וגם בארוגם ביי."
גלישה,היכן אפשר לקנות גלשנים יד שנייה בצד הדרומי של סרי לנקה?,בווליגמה יש חנויות לגלשנים יד שנייה וגם בחוף עצמו. במידיגמה יש בחנות שנקראת Cheeky Monkey בכתובת Galle - Mathara Main Road. וכמעט בכל חנות גלישה אפשר למצוא.
מסיבות ומקומות בילוי,איפה יש מסיבות בצד הדרומי של סרי לנקה?,"בכל יום שני יש מסיבה ב-Beach Break Hostel בווליגמה, בכל רביעי יש בדוקטור האוס במדיאה, בכל חמישי יש מסיבה בלמנה באהנגמה ובצ׳יקי-מאנקי במידיגמה ובשבת מסיבת שקיעה בדוקטור-האוס במדיאה עד חצות ואז מסיבה במקום שצמוד אליו."
מסיבות ומקומות בילוי,איפה יש מסיבות בצד המזרחי (ארוגם ביי) של סרי לנקה?,"חמישי- בדרך כלל במלון הבלו-וויב, שישי- בוויסקי פויינט ובספייס טרייל ובשבת בממבוס"
